"sq_candidato","Nome.Candidato","Cidade","UF","Cargo","Partido","Resultado_Eleitoral","Genero","Raca","Valor_Receita","Votos","ano"
230000837428,"Luiz Albuquerque Loureiro","Boa Vista","RR","Vereador","PP","Suplente","MASC.","PARDA",10333.33,195,2020
230000837420,"EDINALDO SILVA SOUSA","Boa Vista","RR","Vereador","PP","Suplente","MASC.","PARDA",10335.88,326,2020
230000837421,"LINDOMAR DA SILVA","Boa Vista","RR","Vereador","PP","Suplente","MASC.","PARDA",10339.53,242,2020
230000779719,"Jose Orlando Mota E Silva","Boa Vista","RR","Vereador","PDT","Não Eleito","MASC.","PRETA",10778,22,2020
230001054016,"MARCOS VINICIUS BATISTA","Boa Vista","RR","Vereador","PT","Não Eleito","MASC.","PRETA",11006.87,198,2020
230001056785,"Selma Ramos De Oliveira","Boa Vista","RR","Vereador","PV","Suplente","FEM.","PARDA",11100,30,2020
230000779714,"Francisco Brizola Albuquerque","Boa Vista","RR","Vereador","PDT","Não Eleito","MASC.","BRANCA",11761.91,124,2020
230000838138,"Volney Nunes De Melo","Boa Vista","RR","Vereador","PTC","Suplente","MASC.","PARDA",12000,683,2020
230000838401,"Maria Geziane Simao Melo","Boa Vista","RR","Vereador","PATRIOTA","Não Eleito","FEM.","BRANCA",12000,0,2020
230001251767,"Altair Gomes Leite","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","PARDA",12000,15,2020
230001054232,"Luzia Da Silva Matos","Boa Vista","RR","Vereador","PL","Suplente","FEM.","PARDA",12005.85,53,2020
230000779720,"MARIA JUCILENE DA COSTA","Boa Vista","RR","Vereador","PDT","Nulo","FEM.","BRANCA",12351.4,0,2020
230001251758,"Jean Carlos Pereira Duarte","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","PARDA",12600,9,2020
230001251760,"João Da Costa Marcelino","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","PARDA",12600,0,2020
230001251764,"Orlando Da Silva Pinheiro","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","PARDA",12600,50,2020
230001251765,"Jose Manoel De Campos Silva","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","BRANCA",12600,1,2020
230001251766,"Benedito Marcelo Martins De Almeida","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","PARDA",12600,67,2020
230001251768,"Bruce Wenderson Neres Viana","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","PARDA",12600,6,2020
230001251771,"Lourival Ribeiro Da Silva","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","PARDA",12600,23,2020
230001251772,"PAULO RICARDO SANTOS DA SILVA","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","PARDA",12600,70,2020
230001251773,"Nalmir Brito De Queiroz","Boa Vista","RR","Vereador","PROS","Não Eleito","MASC.","PARDA",12600,135,2020
230001057261,"EDIVAN ASSUNÇÃO DOS SANTOS","Boa Vista","RR","Vereador","CIDADANIA","Não Eleito","MASC.","PRETA",12645.48,1458,2020
230000837915,"Emerson Luciano De Oliveira Cruz","Boa Vista","RR","Vereador","DEM","Não Eleito","MASC.","BRANCA",12658,213,2020
230001054241,"Maria Inês Maturano Lopes","Boa Vista","RR","Vereador","PL","Eleito","FEM.","PARDA",12850,1363,2020
